work_id,start_time,end_time,music,num_interruptions,workspace_volume,num_meetings,num_breaks,progress
1000.0,1541302553653.0,1541302554586.0,0.0,7.0,0.3440565582715055,1.0,0.0,0.7609218454630284
1001.0,1541302553917.0,1541302554059.0,0.0,1.0,0.696487565842053,1.0,9.0,0.7893017654193836
1002.0,1541302554146.0,1541302554210.0,0.0,6.0,0.0,4.0,3.0,0.6660175728847473
1003.0,1541302553448.0,1541302553525.0,0.0,8.0,0.054118586094607644,1.0,7.0,0.47405857292128184
1004.0,1541302553826.0,1541302553677.0,0.0,4.0,0.0,1.0,3.0,1.0
1005.0,1541302553759.0,1541302553782.0,0.0,5.0,0.0,0.0,9.0,0.21596969553870848
1006.0,1541302554344.0,1541302555060.0,0.0,1.0,0.0,3.0,2.0,0.46404919397478944
1007.0,1541302552516.0,1541302552249.0,0.0,2.0,0.19110704250585764,1.0,8.0,0.6281433105858961
1008.0,1541302553130.0,1541302552789.0,1.0,5.0,0.0,4.0,10.0,0.661647979557509
1009.0,1541302553299.0,1541302554370.0,0.0,0.0,0.6299524469860737,2.0,3.0,0.7497587703375096
1010.0,1541302553439.0,1541302553795.0,0.0,4.0,0.4456119319300452,9.0,10.0,0.4210326844940688
1011.0,1541302553285.0,1541302553364.0,0.0,6.0,0.0,1.0,7.0,0.4780307954089712
1012.0,1541302554799.0,1541302555094.0,0.0,3.0,0.7189226106262325,3.0,8.0,0.5380901409632377
1013.0,1541302553270.0,1541302553074.0,1.0,3.0,0.3616929258141097,0.0,10.0,0.3865672977047342
1014.0,1541302553261.0,1541302554227.0,0.0,2.0,0.01643850790050623,1.0,8.0,0.6041444822560706
1015.0,1541302552745.0,1541302553291.0,1.0,7.0,1.0,6.0,1.0,0.8005326032359222
1016.0,1541302553593.0,1541302553605.0,0.0,3.0,0.0,3.0,11.0,1.0
1017.0,1541302553485.0,1541302553596.0,1.0,6.0,0.7607959871090365,1.0,5.0,0.5597876496631982
1018.0,1541302553695.0,1541302553886.0,0.0,2.0,0.09607942793400609,5.0,2.0,0.8293555598024289
1019.0,1541302553924.0,1541302554692.0,0.0,1.0,0.28858906921844035,0.0,1.0,0.7024725282684071
1020.0,1541302553064.0,1541302553014.0,0.0,3.0,0.0,0.0,11.0,0.7585729615768478
1021.0,1541302554206.0,1541302553738.0,1.0,0.0,0.8778688308385918,2.0,1.0,0.6072152516450786
1022.0,1541302553563.0,1541302553988.0,0.0,1.0,0.629210943343165,1.0,5.0,0.5753218481958681
1023.0,1541302554057.0,1541302553250.0,0.0,0.0,0.0,0.0,0.0,0.5170668090783485
